seconds,minutes,gold,gps,event
3004,50.1,1092044,89773.60,AUTO auto_parttimer Lv16
3020,50.3,1149485,95523.60,AUTO auto_laser Lv16
3021,50.4,1179912,95753.60,AUTO auto_robot Lv16
3022,50.4,1274262,95758.20,AUTO auto_parttimer Lv17
3023,50.4,1295159,95988.20,AUTO auto_robot Lv17
3040,50.7,1303910,101738.20,AUTO auto_laser Lv17
3041,50.7,1404034,101742.80,AUTO auto_parttimer Lv18
3042,50.7,1419687,101972.80,AUTO auto_robot Lv18
3060,51.0,3586498,101972.80,
3061,51.0,1536218,107722.80,AUTO auto_laser Lv18
3062,51.0,1642085,107727.40,AUTO auto_parttimer Lv19
3063,51.1,1650809,107957.40,AUTO auto_robot Lv19
3079,51.3,2182843,112651.20,UPGRADE up_goldmult Lv14
3095,51.6,1687373,118651.20,AUTO auto_laser Lv19
3096,51.6,1803889,118656.00,AUTO auto_parttimer Lv20
3097,51.6,1897291,118896.00,AUTO auto_robot Lv20
3119,52.0,1932450,124896.00,AUTO auto_laser Lv20
3120,52.0,2054891,124900.80,AUTO auto_parttimer Lv21
3120,52.0,2143491,124900.80,
3121,52.0,2137459,125140.80,AUTO auto_robot Lv21
3145,52.4,2221932,131140.80,AUTO auto_laser Lv21
3146,52.4,2350250,131145.60,AUTO auto_parttimer Lv22
3147,52.5,2330823,131385.60,AUTO auto_robot Lv22
3175,52.9,2688318,137385.60,AUTO auto_laser Lv22
3176,52.9,2822457,137390.40,AUTO auto_parttimer Lv23
3177,53.0,2786690,137630.40,AUTO auto_robot Lv23
3180,53.0,3288181,137630.40,
3201,53.4,3917641,143365.00,UPGRADE up_goldmult Lv15
3223,53.7,3120224,149615.00,AUTO auto_laser Lv23
3224,53.7,3266106,149620.00,AUTO auto_parttimer Lv24
3225,53.8,3216594,149870.00,AUTO auto_robot Lv24
3240,54.0,5747769,149870.00,
3256,54.3,3356150,156120.00,AUTO auto_laser Lv24
3257,54.3,3507976,156125.00,AUTO auto_parttimer Lv25
3258,54.3,3435100,156375.00,AUTO auto_robot Lv25
3294,54.9,3905817,162625.00,AUTO auto_laser Lv25
3300,55.0,5070317,162625.00,
3334,55.6,6649931,169130.00,UPGRADE up_goldmult Lv16
3360,56.0,11548061,169130.00,
3403,56.7,11784057,175635.00,UPGRADE up_goldmult Lv17
3420,57.0,15087627,175635.00,
3480,58.0,26684977,175635.00,
3498,58.3,5058257,175635.00,UNLOCK tier5_space
3511,58.5,25294636,182140.00,UPGRADE up_goldmult Lv18
3529,58.8,38092621,188645.00,UPGRADE up_goldmult Lv19
3540,59.0,63459716,188645.00,
3565,59.4,73290903,195150.00,UPGRADE up_goldmult Lv20
3600,60.0,153441155,195150.00,
3660,61.0,287350157,195150.00,
3720,62.0,421259160,195150.00,
3780,63.0,555168163,195150.00,
3840,64.0,689077166,195150.00,
3900,65.0,822986169,195150.00,
3960,66.0,956895171,195150.00,
4020,67.0,1090804174,195150.00,
4080,68.0,1224713177,195150.00,
4140,69.0,1358622180,195150.00,
4200,70.0,1492531183,195150.00,
4260,71.0,1626440185,195150.00,
4320,72.0,1760349188,195150.00,
4380,73.0,1894258191,195150.00,
4440,74.0,2028167194,195150.00,
4500,75.0,2162076197,195150.00,
4560,76.0,2295985199,195150.00,
4620,77.0,2429894202,195150.00,
4680,78.0,2563803205,195150.00,
4740,79.0,2697712208,195150.00,
4800,80.0,2831621211,195150.00,
4860,81.0,2965530213,195150.00,
4920,82.0,3099439216,195150.00,
4980,83.0,3233348219,195150.00,
5040,84.0,3367257222,195150.00,
5100,85.0,3501166225,195150.00,
5160,86.0,3635075227,195150.00,
5220,87.0,3768984230,195150.00,
5280,88.0,3902893233,195150.00,
5340,89.0,4036802236,195150.00,
5400,90.0,4170711239,195150.00,
5460,91.0,4304620241,195150.00,
5520,92.0,4438529244,195150.00,
5580,93.0,4572438247,195150.00,
5640,94.0,4706347250,195150.00,
5700,95.0,4840256253,195150.00,
5760,96.0,4974165255,195150.00,
5820,97.0,5108074258,195150.00,
5880,98.0,5241983261,195150.00,
5940,99.0,5375892264,195150.00,
6000,100.0,5509801267,195150.00,
6060,101.0,5643710269,195150.00,
6120,102.0,5777619272,195150.00,
6180,103.0,5911528275,195150.00,
6240,104.0,6045437278,195150.00,
6300,105.0,6179346281,195150.00,
6360,106.0,6313255283,195150.00,
6420,107.0,6447164286,195150.00,
6480,108.0,6581073289,195150.00,
6540,109.0,6714982292,195150.00,
6600,110.0,6848891295,195150.00,
6660,111.0,6982800297,195150.00,
6720,112.0,7116709300,195150.00,
6780,113.0,7250618303,195150.00,
6840,114.0,7384527306,195150.00,
6900,115.0,7518436309,195150.00,
6960,116.0,7652345311,195150.00,
7020,117.0,7786254314,195150.00,
7080,118.0,7920163317,195150.00,
7140,119.0,8054072320,195150.00,
7200,120.0,8187981323,195150.00,
7260,121.0,8321890325,195150.00,
7320,122.0,8455799328,195150.00,
7380,123.0,8589708331,195150.00,
7440,124.0,8723617334,195150.00,
7500,125.0,8857526337,195150.00,
7560,126.0,8991435339,195150.00,
7620,127.0,9125344342,195150.00,
7680,128.0,9259253345,195150.00,
7740,129.0,9393162348,195150.00,
7800,130.0,9527071351,195150.00,
7860,131.0,9660980353,195150.00,
7920,132.0,9794889356,195150.00,
7980,133.0,9928798359,195150.00,
8040,134.0,10062707362,195150.00,
8100,135.0,10196616365,195150.00,
8160,136.0,10330525367,195150.00,
8220,137.0,10464434370,195150.00,
8280,138.0,10598343373,195150.00,
8340,139.0,10732252376,195150.00,
8400,140.0,10866161379,195150.00,
8460,141.0,11000070381,195150.00,
8520,142.0,11133979384,195150.00,
8580,143.0,11267888387,195150.00,
8640,144.0,11401797390,195150.00,
8700,145.0,11535706393,195150.00,
8760,146.0,11669615395,195150.00,
8820,147.0,11803524398,195150.00,
8880,148.0,11937433401,195150.00,
8940,149.0,12071342404,195150.00,
9000,150.0,12205251407,195150.00,
9060,151.0,12339160409,195150.00,
9120,152.0,12473069412,195150.00,
9180,153.0,12606978415,195150.00,
9240,154.0,12740887418,195150.00,
9300,155.0,12874796421,195150.00,
9360,156.0,13008705423,195150.00,
9420,157.0,13142614426,195150.00,
9480,158.0,13276523429,195150.00,
9540,159.0,13410432432,195150.00,
9600,160.0,13544341435,195150.00,
9660,161.0,13678250437,195150.00,
9720,162.0,13812159440,195150.00,
9780,163.0,13946068443,195150.00,
9840,164.0,14079977446,195150.00,
9900,165.0,14213886449,195150.00,
9960,166.0,14347795451,195150.00,
10020,167.0,14481704454,195150.00,
10080,168.0,14615613457,195150.00,
10140,169.0,14749522460,195150.00,
10200,170.0,14883431463,195150.00,
10260,171.0,15017340465,195150.00,
10320,172.0,15151249468,195150.00,
10380,173.0,15285158471,195150.00,
10440,174.0,15419067474,195150.00,
10500,175.0,15552976477,195150.00,
10560,176.0,15686885479,195150.00,
10620,177.0,15820794482,195150.00,
10680,178.0,15954703485,195150.00,
10740,179.0,16088612488,195150.00,
10800,180.0,16222521491,195150.00,
10860,181.0,16356430493,195150.00,
10920,182.0,16490339496,195150.00,
10980,183.0,16624248499,195150.00,
11040,184.0,16758157502,195150.00,
11100,185.0,16892066505,195150.00,
11160,186.0,17025975507,195150.00,
11220,187.0,17159884510,195150.00,
11280,188.0,17293793513,195150.00,
11340,189.0,17427702516,195150.00,
11400,190.0,17561611519,195150.00,
11460,191.0,17695520521,195150.00,
11520,192.0,17829429524,195150.00,
11580,193.0,17963338527,195150.00,
11640,194.0,18097247530,195150.00,
11700,195.0,18231156533,195150.00,
11760,196.0,18365065535,195150.00,
11820,197.0,18498974538,195150.00,
11880,198.0,18632883541,195150.00,
11940,199.0,18766792544,195150.00,
12000,200.0,18900701547,195150.00,
12060,201.0,19034610549,195150.00,
12120,202.0,19168519552,195150.00,
12180,203.0,19302428555,195150.00,
12240,204.0,19436337558,195150.00,
12300,205.0,19570246561,195150.00,
12360,206.0,19704155563,195150.00,
12420,207.0,19838064566,195150.00,
12480,208.0,19971973569,195150.00,
12540,209.0,20105882572,195150.00,
12600,210.0,20239791575,195150.00,
12660,211.0,20373700577,195150.00,
12720,212.0,20507609580,195150.00,
12780,213.0,20641518583,195150.00,
12840,214.0,20775427586,195150.00,
12900,215.0,20909336589,195150.00,
12960,216.0,21043245591,195150.00,
13020,217.0,21177154594,195150.00,
13080,218.0,21311063597,195150.00,
13140,219.0,21444972600,195150.00,
13200,220.0,21578881603,195150.00,
13260,221.0,21712790605,195150.00,
13320,222.0,21846699608,195150.00,
13380,223.0,21980608611,195150.00,
13440,224.0,22114517614,195150.00,
13500,225.0,22248426617,195150.00,
13560,226.0,22382335619,195150.00,
13620,227.0,22516244622,195150.00,
13680,228.0,22650153625,195150.00,
13740,229.0,22784062628,195150.00,
13800,230.0,22917971631,195150.00,
13860,231.0,23051880633,195150.00,
13920,232.0,23185789636,195150.00,
13980,233.0,23319698639,195150.00,
14040,234.0,23453607642,195150.00,
14100,235.0,23587516645,195150.00,
14160,236.0,23721425647,195150.00,
14220,237.0,23855334650,195150.00,
14280,238.0,23989243653,195150.00,
14340,239.0,24123152656,195150.00,
14400,240.0,24257061659,195150.00,
